MOVIE_NAME,GENRE,RATINGS,VOTING_COUNTS,DURATION
Rabb Da Radio 3,ROMANCE,6.8,7.0,122
Love Unlike in K-Dramas,ROMANCE,6.5,131.0,118
Him,ROMANCE,7.2,22.0,80
"Till Then, Hanna!",ROMANCE,6.1,311.0,110
Dilan 1983,ROMANCE,6.4,236.0,116
Heavens x Candy,ROMANCE,6.2,46.0,70
Love Li,ROMANCE,6.4,13000.0,168
A European Christmas,ROMANCE,4.7,196.0,90
Kisko Tha Pata,ROMANCE,7.5,18.0,135
O2,ROMANCE,6.6,7900.0,105
Writing a Love Song,ROMANCE,6.7,189.0,85
Forbidden Love,ROMANCE,7.6,29.0,96
Samudrudu,ROMANCE,6.9,2000.0,141
What Happened in My Black Boyfriend's Room,ROMANCE,5.4,9.0,62
Hi Anokhi Gaath,ROMANCE,6.7,81.0,126
Elevator,ROMANCE,5.1,171.0,95
Gili Gili Raat,ROMANCE,5.7,12.0,93
Love... Reconsidered,ROMANCE,4.2,137.0,88
Momma's Boy,ROMANCE,3.8,48.0,105
Movie Given Hiiragi Mix.,ROMANCE,7.6,210.0,70
À toute allure,ROMANCE,5.4,211.0,86
Yesterday Is Almost Here,ROMANCE,8.1,11.0,92
Moments We Shared,ROMANCE,5.4,124.0,131
Midwinter,ROMANCE,6.6,57.0,95
Young Lion of the West,ROMANCE,5.2,108.0,93
L'heureuse élue,ROMANCE,5.4,290.0,91
Super Happy Forever,ROMANCE,6.8,211.0,94
Roti Kapda Romance,ROMANCE,5.9,2500.0,153
Yuva,ROMANCE,5.8,843.0,153
Letuchiy korabl,ROMANCE,3.8,302.0,100
ISHQ (Don't Fall in Love),ROMANCE,10,6.0,131
Maple Leaf Dreams,ROMANCE,5.3,130.0,101
Saint Nick of Bethlehem,ROMANCE,9.0,103.0,93
Kahan Shuru Kahan Khatam,ROMANCE,6.1,3100.0,107
Amar Prem Ki Prem Kahani,ROMANCE,4.4,656.0,117
"Aku Jati, Aku Asperger",ROMANCE,7.8,83.0,88
Christmas in Lagos,ROMANCE,4.7,179.0,120
Zenithal,ROMANCE,5.4,85.0,80
8 Views of Lake Biwa,ROMANCE,5.2,131.0,126
Prabuthwa Junior Kalashala,ROMANCE,7.0,2100.0,131
"Sampai Jumpa, Selamat Tinggal",ROMANCE,6.6,7.0,109
Kupu-Kupu Kertas,ROMANCE,6.5,210.0,113
Kagojer Bou,ROMANCE,5.8,30.0,112
We Are Faheem & Karun,ROMANCE,9.1,65.0,81
Perdiendo el Juicio,ROMANCE,7.6,20.0,90
Sihina Nelum Mal,ROMANCE,8.0,34.0,105
Enchanting Christmas,ROMANCE,6.4,360.0,91
The Love Buzz,ROMANCE,5.7,166.0,100
In the Summer Rain,ROMANCE,6.7,12.0,129
I Am the Secret in Your Heart,ROMANCE,6.1,211.0,112
Yeni Hayat,ROMANCE,2.9,36.0,132
Love Stuck,ROMANCE,5.7,161.0,116
DeAr,ROMANCE,5.1,1300.0,132
You Are Not Alone,ROMANCE,6.1,72.0,105
Love Mouli,ROMANCE,6.5,84.0,146
"Aire, Just Breathe",ROMANCE,4.8,197.0,98
Holiday for Hire,ROMANCE,5.8,195.0,84
Benaam Rishta,ROMANCE,6.8,11.0,90
My Sassy Girl,ROMANCE,5.0,137.0,117
Bigayan,ROMANCE,6.2,45.0,43
¿Vienes o Voy?,ROMANCE,6.7,19.0,94
Christmas on the Ranch,ROMANCE,6.0,138.0,86
Honeko Akabane's Bodyguards,ROMANCE,5.9,42.0,117
Mi Perfecto Ex,ROMANCE,7.6,19.0,83
Emakku Thozhil Romance,ROMANCE,4.9,131.0,111
Ahl Al Kahf,ROMANCE,5.3,279.0,120
Future Date,ROMANCE,5.5,129.0,82
Assisting Venus,ROMANCE,6.2,27.0,100
Jingle Bell Love,ROMANCE,6.1,219.0,81
Looking for Dr. Love,ROMANCE,6.0,131.0,85
Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,ROMANCE,6.0,85.0,138
Valentine's Town,ROMANCE,5.2,197.0,84
Take Good Care,ROMANCE,6.4,5.0,101
Bewafa Darling,ROMANCE,8.6,14.0,56
Seni Memahami Kekasih,ROMANCE,8.0,63.0,91
"Dao, Pho Va Piano",ROMANCE,5.8,210.0,100
A Bluegrass Christmas,ROMANCE,6.0,239.0,84
Do I Shock U Like Lightning,ROMANCE,8.6,26.0,97
Lyubvi ne byvaet?,ROMANCE,5.4,161.0,105
Election,ROMANCE,5.8,804.0,120
Shooting My Life's Script,ROMANCE,6.2,342.0,95
Raseeli Raatein,ROMANCE,6.4,11.0,91
Visal Adare,ROMANCE,6.0,147.0,120
Le beau rôle,ROMANCE,6.6,99.0,84
Valley of the Shadow of Death,ROMANCE,5.3,19.0,84
Umjolo: Day Ones,ROMANCE,4.1,161.0,86
Letters at Christmas,ROMANCE,3.7,175.0,84
40,ROMANCE,3.9,26.0,103
Me and My Victim,ROMANCE,3.3,9.0,100
Bad Boy in Love,ROMANCE,8.9,17.0,91
Marriage Mansion,ROMANCE,8.6,25.0,0
The Property,ROMANCE,7.4,57.0,110
Reloaded 2,ROMANCE,7.6,1200.0,45
